rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,tanh,25,Xception,238,0.0018883732300841306,0.71875,0.273,31,0.267,RMSProp,4,0.0002448877074276911,run_2018-02-08-134402_,0.013,2,61,0.03631828087169122
24,tanh,15,InceptionV3,298,0.008818134863514567,0.78125,0.273,39,0.267,SGD,2,0.000380281961577311,run_2018-02-08-133033_,0.013,2,346,0.18385650793826339
24,relu,12,Xception,731,0.0011252188834962845,0.671875,0.273,34,0.267,Adam,2,1.4293240239556127e-05,run_2018-02-08-133017_,0.013,2,420,0.1513372263504593
24,relu,14,Xception,145,0.0016300434539378834,0.265625,0.273,33,0.267,RMSProp,32,1.134874168789118e-05,run_2018-02-08-154311_,0.013,2,294,0.01619592738073965
24,tanh,13,InceptionResNetV2,978,0.00012882947262845318,0.7339449534449008,0.273,18,0.267,RMSProp,2,0.00020753889586138015,run_2018-02-08-133239_,0.013,2,286,0.06508243080896674
24,relu,18,InceptionResNetV2,256,0.008134440548722746,0.53125,0.273,28,0.267,Adam,16,0.0002459909810587713,run_2018-02-08-151642_,0.013,3,128,0.13209987280665508
24,relu,26,InceptionV3,160,0.0003578958860716047,0.8701298691622623,0.273,22,0.267,Adam,2,1.3283647444427225e-05,run_2018-02-08-133255_,0.013,3,364,0.08092682512038031
24,tanh,22,InceptionV3,429,0.003828225927472165,0.8441558414465421,0.273,21,0.267,SGD,2,0.00019651011377052978,run_2018-02-08-141456_,0.013,3,84,0.08684175504863828
24,tanh,27,ResNet50,559,0.0007375952696489826,0.9090909081233012,0.273,20,0.267,RMSProp,1,4.376305234907981e-05,run_2018-02-08-132634_,0.013,3,430,0.1948326290223274
24,relu,30,Xception,689,0.009572733114123077,0.875,0.273,49,0.267,SGD,1,1.6463113350334674e-05,run_2018-02-08-132552_,0.013,2,145,0.26618976141046374
24,tanh,20,InceptionV3,296,0.0014990589600709881,0.90625,0.273,48,0.267,RMSProp,1,0.00021784719879380733,run_2018-02-08-132413_,0.013,3,126,0.05636697845241148
24,tanh,30,ResNet50,778,0.000357888533287373,0.84375,0.273,59,0.267,Adam,8,0.0003044134208470986,run_2018-02-08-145051_,0.013,3,85,0.1452951978638344
24,relu,13,Xception,407,0.000868440879631394,0.328125,0.273,26,0.267,RMSProp,32,1.5705998919914355e-05,run_2018-02-08-151916_,0.013,3,119,0.062292327256539444
24,tanh,18,Xception,478,0.001375852644601434,0.90625,0.273,41,0.267,RMSProp,4,2.2338400249519212e-05,run_2018-02-08-142026_,0.013,3,124,0.21569214652187058
24,relu,15,ResNet50,111,0.0002603793701118468,0.921875,0.273,28,0.267,Adam,2,3.69461656985025e-05,run_2018-02-08-133542_,0.013,2,151,0.027779328620668873
24,relu,28,ResNet50,270,0.007718585026206239,0.8125,0.273,51,0.267,Adam,16,1.0867347824320923e-05,run_2018-02-08-152238_,0.013,3,298,0.24820020339661122
24,tanh,10,Xception,159,0.0005618056923890776,0.84375,0.273,48,0.267,Adam,1,0.00010299135666647601,run_2018-02-08-132452_,0.013,2,53,0.12378679667693099
24,tanh,10,InceptionResNetV2,193,0.0009487352712683983,0.75,0.273,57,0.267,RMSProp,2,0.0001935000181847217,run_2018-02-08-133414_,0.013,3,214,0.1445711830449289
24,tanh,20,Xception,699,0.00042410173759327153,0.328125,0.273,32,0.267,Adam,64,6.61813807267213e-05,run_2018-02-08-164122_,0.013,3,101,0.0225853473275863
